occurrence	severity	id	file	line	column	message
19	Warning	AndroidGradlePluginVersion	/Users/back/legado/gradle/wrapper/gradle-wrapper.properties	4	17	A newer version of Gradle than 8.13 is available: 8.14.5
20	Warning	AndroidGradlePluginVersion	/Users/back/legado/gradle/libs.versions.toml	5	7	A newer version of com.android.application than 8.13.2 is available: 9.3.2
21	Warning	AndroidGradlePluginVersion	/Users/back/legado/gradle/libs.versions.toml	5	7	A newer version of com.android.library than 8.13.2 is available: 9.3.2
22	Warning	AndroidGradlePluginVersion	/Users/back/legado/gradle/libs.versions.toml	5	7	A newer version of com.android.test than 8.13.2 is available: 9.3.2
23	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	6	13	A newer version of androidx.appcompat:appcompat than 1.7.1 is available: 1.8.0
24	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	8	20	A newer version of androidx.constraintlayout:constraintlayout than 2.2.1 is available: 2.2.2
25	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	9	8	A newer version of androidx.core:core than 1.17.0 is available: 1.19.0
26	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	9	8	A newer version of androidx.core:core-ktx than 1.17.0 is available: 1.19.0
27	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	11	12	A newer version of androidx.fragment:fragment than 1.8.9 is available: 1.9.0
28	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	11	12	A newer version of androidx.fragment:fragment-ktx than 1.8.9 is available: 1.9.0
29	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	11	12	A newer version of androidx.fragment:fragment-testing than 1.8.9 is available: 1.9.0
30	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	22	12	A newer version of com.google.android.material:material than 1.13.0 is available: 1.14.0
31	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	23	9	A newer version of androidx.media:media than 1.7.1 is available: 1.8.0
32	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	34	14	A newer version of androidx.collection:collection than 1.5.0 is available: 1.6.0
33	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	80	87	A newer version of androidx.annotation:annotation than 1.9.1 is available: 1.10.0
34	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	91	87	A newer version of androidx.test.espresso:espresso-core than 3.6.1 is available: 3.7.0
35	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	97	66	A newer version of androidx.test.ext:junit than 1.2.1 is available: 1.3.0
36	Warning	GradleDependency	/Users/back/legado/gradle/libs.versions.toml	149	64	A newer version of androidx.test:runner than 1.6.2 is available: 1.7.0
37	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.android than 2.3.0 is available: 2.4.10
38	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.jvm than 2.3.0 is available: 2.4.10
39	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.kapt than 2.3.0 is available: 2.4.10
40	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.allopen than 2.3.0 is available: 2.4.10
41	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.lombok than 2.3.0 is available: 2.4.10
42	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.noarg than 2.3.0 is available: 2.4.10
43	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.parcelize than 2.3.0 is available: 2.4.10
44	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.sam.with.receiver than 2.3.0 is available: 2.4.10
45	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	3	10	A newer version of org.jetbrains.kotlin.plugin.serialization than 2.3.0 is available: 2.4.10
46	Warning	NewerVersionAvailable	/Users/back/legado/gradle/libs.versions.toml	15	9	A newer version of com.github.bumptech.glide:avif-integration than 5.0.5 is available: 5.0.9
